*2017-12-19 11-58-23
0 : ¡µE3D4
1 : ¡¿A2B2
2 : ¡µD4C5
3 : ¡¿B1C1
4 : ¡µE4D3
5 : ¡¿A4B3
6 : ¡µD3C4
7 : ¡¿B3C4
8 : ¡µE2C4
9 : ¡¿F3C3
10 : ¡µE1E4
11 : ¡¿C3C4
12 : ¡µE4C4
13 : ¡¿A3B3
14 : ¡µC4E4
15 : ¡¿F2C2
16 : ¡µE4E2
17 : ¡¿B3C3
18 : ¡µG3E4
19 : ¡¿A5A4
20 : ¡µG2B5
21 : ¡¿A4A5
22 : ¡µB5C4
23 : ¡¿A5A3
24 : ¡µE4E3
25 : ¡¿C2B1
26 : ¡µC5D4
27 : ¡¿C3D4
28 : ¡µE5D4
29 : ¡¿F4D1
30 : ¡µE2B2
31 : ¡¿A1B2
32 : ¡µG4B3
33 : ¡¿A3B3
34 : ¡µC4B3
35 : ¡¿F4C3
36 : ¡µD4C5
37 : ¡¿B2B3
38 : ¡µG3C4
39 : ¡¿B3B2
40 : ¡µG1B3
41 : ¡¿B2A1
42 : ¡µB3A3+
43 : ¡¿B1A2
44 : ¡µC4C3
45 : ¡¿F1C4
46 : ¡µC3C4
